session_id,customer_id,pages_viewed,time_on_site,device_type,traffic_source,session_date,converted
1,9716,8,271.2382065201882,desktop,organic,2022-06-18,0
2,4617,5,257.3868415138415,mobile,social,2020-07-03,0
3,1506,4,289.6798883960912,tablet,paid,2020-12-12,0
4,3869,5,146.5433763536737,mobile,direct,2023-09-12,0
5,6245,3,339.2282086495588,mobile,email,2019-04-02,0
6,7578,8,200.05760963504645,tablet,paid,2022-07-22,0
7,6521,8,17.707506524462655,tablet,email,2024-01-14,1
8,7338,2,328.6275207515331,desktop,email,2024-06-27,0
9,2187,3,51.638969065809626,tablet,direct,2019-10-30,0
10,2675,5,303.36067121072193,mobile,direct,2020-02-04,0
11,3518,3,193.74776520601,desktop,direct,2022-09-13,0
12,2688,8,373.30685005897675,tablet,social,2024-09-23,0
13,1760,3,69.06544837644567,tablet,email,2023-07-12,0
14,7571,8,303.72954218847144,mobile,social,2022-03-24,0
15,3220,2,297.5769287145886,tablet,social,2023-01-10,0
16,2530,4,382.57096868211727,mobile,social,2023-09-14,0
17,9294,5,167.75679818880468,mobile,social,2020-01-07,0
18,4506,3,516.4385774224208,tablet,paid,2022-12-17,0
19,1328,6,445.59206304101974,desktop,social,2022-09-19,0
20,6563,6,372.85527646196124,desktop,email,2023-07-17,0
21,5650,5,345.4946285363247,tablet,organic,2020-02-15,0
22,2946,5,426.3002838522626,mobile,direct,2020-04-03,0
23,9508,3,247.90067869312233,mobile,paid,2024-06-15,0
24,8822,4,119.69215187335963,tablet,organic,2022-08-17,0
25,9500,4,217.53262346301204,tablet,paid,2023-01-28,0
26,151,5,236.32598734618173,desktop,email,2023-04-12,0
27,4104,4,289.9211732013234,desktop,direct,2020-01-20,0
28,4475,4,357.21332297264746,tablet,direct,2021-06-12,0
29,3478,5,355.2307067181278,tablet,direct,2023-10-21,1
30,8053,6,230.73341892876232,mobile,paid,2024-02-04,0
31,9194,6,252.1513566430347,tablet,email,2024-01-01,0
32,7906,7,166.11934007109585,mobile,direct,2022-10-31,0
33,413,8,78.9792510510865,desktop,organic,2020-10-28,0
